in s,C1 in V
-2.9998736E+01,6.54297E-02
-2.9998278E+01,4.98047E-02
-2.9997820E+01,7.71484E-02
-2.9997362E+01,6.15234E-02
-2.9996904E+01,7.91016E-02
-2.9996446E+01,6.54297E-02
-2.9995988E+01,5.76172E-02
-2.9995530E+01,4.78516E-02
-2.9995072E+01,5.56641E-02
-2.9994614E+01,5.76172E-02
-2.9994156E+01,5.56641E-02
-2.9993698E+01,7.12891E-02
-2.9993240E+01,3.80859E-02
-2.9992782E+01,5.37109E-02
-2.9992324E+01,6.93359E-02
-2.9991866E+01,6.54297E-02
-2.9991408E+01,1.06445E-01
-2.9990950E+01,6.34766E-02
-2.9990492E+01,7.32422E-02
-2.9990034E+01,6.73828E-02
-2.9989577E+01,4.78516E-02
-2.9989119E+01,6.73828E-02
-2.9988661E+01,5.95703E-02
-2.9988203E+01,4.00391E-02
-2.9987745E+01,5.95703E-02
-2.9987287E+01,7.32422E-02
-2.9986829E+01,5.56641E-02
-2.9986371E+01,7.12891E-02
-2.9985913E+01,5.56641E-02
-2.9985455E+01,5.17578E-02
-2.9984997E+01,6.73828E-02
-2.9984539E+01,5.37109E-02
-2.9984081E+01,7.51953E-02
-2.9983623E+01,7.51953E-02
-2.9983165E+01,7.32422E-02
-2.9982707E+01,7.32422E-02
-2.9982249E+01,6.54297E-02
-2.9981791E+01,6.93359E-02
-2.9981333E+01,5.56641E-02
-2.9980875E+01,6.15234E-02
-2.9980417E+01,5.37109E-02
-2.9979959E+01,6.15234E-02
-2.9979501E+01,6.34766E-02
-2.9979043E+01,4.98047E-02
-2.9978585E+01,5.95703E-02
-2.9978127E+01,5.56641E-02
-2.9977669E+01,8.30078E-02
-2.9977211E+01,5.17578E-02
-2.9976753E+01,7.32422E-02
-2.9976295E+01,5.17578E-02
-2.9975837E+01,6.54297E-02
-2.9975380E+01,6.73828E-02
-2.9974922E+01,6.54297E-02
-2.9974464E+01,5.76172E-02
-2.9974006E+01,5.76172E-02
-2.9973548E+01,5.37109E-02
-2.9973090E+01,5.56641E-02
-2.9972632E+01,7.12891E-02
-2.9972174E+01,6.93359E-02
-2.9971716E+01,7.32422E-02
-2.9971258E+01,5.76172E-02
-2.9970800E+01,5.56641E-02
-2.9970342E+01,6.93359E-02
-2.9969884E+01,5.56641E-02
-2.9969426E+01,5.95703E-02
-2.9968968E+01,5.17578E-02
-2.9968510E+01,5.76172E-02
-2.9968052E+01,5.56641E-02
-2.9967594E+01,5.95703E-02
-2.9967136E+01,4.78516E-02
-2.9966678E+01,7.51953E-02
-2.9966220E+01,6.15234E-02
-2.9965762E+01,4.19922E-02
-2.9965304E+01,6.73828E-02
-2.9964846E+01,7.32422E-02
-2.9964388E+01,5.37109E-02
-2.9963930E+01,5.95703E-02
-2.9963472E+01,5.76172E-02
-2.9963014E+01,5.76172E-02
-2.9962556E+01,5.95703E-02
-2.9962098E+01,4.98047E-02
-2.9961640E+01,6.15234E-02
-2.9961182E+01,6.15234E-02
-2.9960725E+01,6.15234E-02
-2.9960267E+01,6.15234E-02
-2.9959809E+01,6.34766E-02
-2.9959351E+01,7.71484E-02
-2.9958893E+01,6.73828E-02
-2.9958435E+01,6.15234E-02
-2.9957977E+01,6.15234E-02
-2.9957519E+01,7.12891E-02
-2.9957061E+01,6.34766E-02
-2.9956603E+01,5.76172E-02
-2.9956145E+01,5.76172E-02
-2.9955687E+01,6.93359E-02
-2.9955229E+01,6.54297E-02
-2.9954771E+01,7.51953E-02
-2.9954313E+01,6.54297E-02
-2.9953855E+01,6.34766E-02
-2.9953397E+01,6.34766E-02
-2.9952939E+01,7.32422E-02
-2.9952481E+01,5.95703E-02
-2.9952023E+01,6.54297E-02
-2.9951565E+01,6.34766E-02
-2.9951107E+01,6.34766E-02
-2.9950649E+01,6.73828E-02
-2.9950191E+01,5.76172E-02
-2.9949733E+01,7.91016E-02
-2.9949275E+01,6.34766E-02
-2.9948817E+01,4.98047E-02
-2.9948359E+01,5.76172E-02
-2.9947901E+01,7.91016E-02
-2.9947443E+01,6.34766E-02
-2.9946985E+01,4.98047E-02
-2.9946528E+01,5.95703E-02
-2.9946070E+01,7.91016E-02
-2.9945612E+01,5.76172E-02
-2.9945154E+01,7.51953E-02
-2.9944696E+01,6.73828E-02
-2.9944238E+01,7.51953E-02
-2.9943780E+01,5.76172E-02
-2.9943322E+01,5.76172E-02
-2.9942864E+01,4.98047E-02
-2.9942406E+01,6.15234E-02
-2.9941948E+01,8.49609E-02
-2.9941490E+01,6.34766E-02
-2.9941032E+01,7.71484E-02
-2.9940574E+01,6.34766E-02
-2.9940116E+01,5.95703E-02
-2.9939658E+01,4.98047E-02
-2.9939200E+01,5.95703E-02
-2.9938742E+01,6.15234E-02
-2.9938284E+01,5.95703E-02
-2.9937826E+01,7.32422E-02
-2.9937368E+01,5.95703E-02
-2.9936910E+01,5.37109E-02
-2.9936452E+01,6.54297E-02
-2.9935994E+01,7.32422E-02
-2.9935536E+01,6.73828E-02
-2.9935078E+01,5.76172E-02
-2.9934620E+01,6.73828E-02
-2.9934162E+01,5.56641E-02
-2.9933704E+01,6.34766E-02
-2.9933246E+01,5.76172E-02
-2.9932788E+01,5.76172E-02
-2.9932331E+01,7.71484E-02
-2.9931873E+01,6.54297E-02
-2.9931415E+01,5.76172E-02
-2.9930957E+01,7.12891E-02
-2.9930499E+01,5.76172E-02
-2.9930041E+01,5.95703E-02
-2.9929583E+01,7.71484E-02
-2.9929125E+01,7.32422E-02
-2.9928667E+01,6.15234E-02
-2.9928209E+01,6.73828E-02
-2.9927751E+01,6.15234E-02
-2.9927293E+01,6.73828E-02
-2.9926835E+01,4.98047E-02
-2.9926377E+01,7.51953E-02
-2.9925919E+01,5.76172E-02
-2.9925461E+01,5.17578E-02
-2.9925003E+01,4.78516E-02
-2.9924545E+01,6.73828E-02
-2.9924087E+01,6.15234E-02
-2.9923629E+01,7.12891E-02
-2.9923171E+01,5.76172E-02
-2.9922713E+01,5.95703E-02
-2.9922255E+01,6.15234E-02
-2.9921797E+01,5.95703E-02
-2.9921339E+01,6.34766E-02
-2.9920881E+01,7.32422E-02
-2.9920423E+01,5.56641E-02
-2.9919965E+01,4.39453E-02
-2.9919507E+01,6.15234E-02
-2.9919049E+01,4.78516E-02
-2.9918591E+01,5.56641E-02
-2.9918134E+01,5.37109E-02
-2.9917676E+01,6.54297E-02
-2.9917218E+01,6.34766E-02
-2.9916760E+01,6.34766E-02
-2.9916302E+01,6.73828E-02
-2.9915844E+01,6.93359E-02
-2.9915386E+01,8.10547E-02
-2.9914928E+01,6.15234E-02
-2.9914470E+01,6.34766E-02
-2.9914012E+01,6.15234E-02
-2.9913554E+01,5.95703E-02
-2.9913096E+01,7.91016E-02
-2.9912638E+01,6.73828E-02
-2.9912180E+01,5.76172E-02
-2.9911722E+01,6.34766E-02
-2.9911264E+01,6.34766E-02
-2.9910806E+01,7.12891E-02
-2.9910348E+01,7.32422E-02
-2.9909890E+01,6.73828E-02
-2.9909432E+01,5.37109E-02
-2.9908974E+01,7.12891E-02
-2.9908516E+01,7.32422E-02
-2.9908058E+01,6.73828E-02
-2.9907600E+01,5.56641E-02
-2.9907142E+01,6.73828E-02
-2.9906684E+01,5.56641E-02
-2.9906226E+01,7.51953E-02
-2.9905768E+01,6.34766E-02
-2.9905310E+01,5.76172E-02
-2.9904852E+01,6.15234E-02
-2.9904394E+01,6.93359E-02
-2.9903936E+01,5.76172E-02
-2.9903479E+01,7.71484E-02
-2.9903021E+01,6.73828E-02
-2.9902563E+01,5.76172E-02
-2.9902105E+01,7.91016E-02
-2.9901647E+01,6.54297E-02
-2.9901189E+01,7.12891E-02
-2.9900731E+01,5.17578E-02
-2.9900273E+01,7.32422E-02
-2.9899815E+01,5.56641E-02
-2.9899357E+01,4.58984E-02
-2.9898899E+01,6.15234E-02
-2.9898441E+01,6.15234E-02
-2.9897983E+01,7.51953E-02
-2.9897525E+01,6.73828E-02
-2.9897067E+01,4.39453E-02
-2.9896609E+01,6.15234E-02
-2.9896151E+01,5.95703E-02
-2.9895693E+01,6.34766E-02
-2.9895235E+01,6.73828E-02
-2.9894777E+01,6.15234E-02
-2.9894319E+01,6.73828E-02
-2.9893861E+01,6.15234E-02
-2.9893403E+01,5.37109E-02
-2.9892945E+01,5.37109E-02
-2.9892487E+01,5.76172E-02
-2.9892029E+01,6.54297E-02
-2.9891571E+01,6.54297E-02
-2.9891113E+01,7.71484E-02
-2.9890655E+01,5.95703E-02
-2.9890197E+01,7.32422E-02
-2.9889739E+01,5.76172E-02
-2.9889282E+01,6.73828E-02
-2.9888824E+01,6.93359E-02
-2.9888366E+01,8.10547E-02
-2.9887908E+01,5.56641E-02
-2.9887450E+01,5.76172E-02
-2.9886992E+01,8.30078E-02
-2.9886534E+01,6.15234E-02
-2.9886076E+01,6.73828E-02
-2.9885618E+01,6.15234E-02
-2.9885160E+01,6.54297E-02
-2.9884702E+01,7.51953E-02
-2.9884244E+01,6.15234E-02
-2.9883786E+01,7.32422E-02
-2.9883328E+01,5.95703E-02
-2.9882870E+01,6.93359E-02
-2.9882412E+01,5.95703E-02
-2.9881954E+01,5.95703E-02
-2.9881496E+01,4.98047E-02
-2.9881038E+01,6.93359E-02
-2.9880580E+01,5.95703E-02
-2.9880122E+01,7.32422E-02
-2.9879664E+01,7.71484E-02
-2.9879206E+01,6.34766E-02
-2.9878748E+01,5.76172E-02
-2.9878290E+01,6.54297E-02
-2.9877832E+01,5.95703E-02
-2.9877374E+01,7.71484E-02
-2.9876916E+01,5.37109E-02
-2.9876458E+01,5.56641E-02
-2.9876000E+01,5.56641E-02
-2.9875542E+01,5.76172E-02
-2.9875085E+01,7.32422E-02
-2.9874627E+01,7.32422E-02
-2.9874169E+01,6.34766E-02
-2.9873711E+01,6.15234E-02
-2.9873253E+01,6.93359E-02
-2.9872795E+01,6.54297E-02
-2.9872337E+01,7.12891E-02
-2.9871879E+01,7.12891E-02
-2.9871421E+01,6.73828E-02
-2.9870963E+01,7.71484E-02
-2.9870505E+01,6.73828E-02
