in s,C1 in V
-5.9998018E+00,6.29883E-02
-5.9997101E+00,5.90820E-02
-5.9996184E+00,6.00586E-02
-5.9995268E+00,5.51758E-02
-5.9994351E+00,6.29883E-02
-5.9993435E+00,5.51758E-02
-5.9992518E+00,6.39648E-02
-5.9991602E+00,5.71289E-02
-5.9990685E+00,6.20117E-02
-5.9989769E+00,6.68945E-02
-5.9988852E+00,6.39648E-02
-5.9987935E+00,5.51758E-02
-5.9987019E+00,6.00586E-02
-5.9986102E+00,5.51758E-02
-5.9985186E+00,6.29883E-02
-5.9984269E+00,6.68945E-02
-5.9983353E+00,6.88477E-02
-5.9982436E+00,6.78711E-02
-5.9981520E+00,5.32227E-02
-5.9980603E+00,6.98242E-02
-5.9979686E+00,6.10352E-02
-5.9978770E+00,6.20117E-02
-5.9977853E+00,6.00586E-02
-5.9976937E+00,5.32227E-02
-5.9976020E+00,5.51758E-02
-5.9975104E+00,5.71289E-02
-5.9974187E+00,6.00586E-02
-5.9973270E+00,5.81055E-02
-5.9972354E+00,6.10352E-02
-5.9971437E+00,6.10352E-02
-5.9970521E+00,6.59180E-02
-5.9969604E+00,6.39648E-02
-5.9968688E+00,6.29883E-02
-5.9967771E+00,6.39648E-02
-5.9966855E+00,6.00586E-02
-5.9965938E+00,6.10352E-02
-5.9965021E+00,6.49414E-02
-5.9964105E+00,6.59180E-02
-5.9963188E+00,5.32227E-02
-5.9962272E+00,6.39648E-02
-5.9961355E+00,6.00586E-02
-5.9960439E+00,5.71289E-02
-5.9959522E+00,6.00586E-02
-5.9958606E+00,6.00586E-02
-5.9957689E+00,6.10352E-02
-5.9956772E+00,5.90820E-02
-5.9955856E+00,6.00586E-02
-5.9954939E+00,6.39648E-02
-5.9954023E+00,6.10352E-02
-5.9953106E+00,6.00586E-02
-5.9952190E+00,5.32227E-02
-5.9951273E+00,5.71289E-02
-5.9950356E+00,6.10352E-02
-5.9949440E+00,5.51758E-02
-5.9948523E+00,6.49414E-02
-5.9947607E+00,6.59180E-02
-5.9946690E+00,6.29883E-02
-5.9945774E+00,6.29883E-02
-5.9944857E+00,6.00586E-02
-5.9943941E+00,4.83398E-02
-5.9943024E+00,6.49414E-02
-5.9942107E+00,4.34570E-02
-5.9941191E+00,5.41992E-02
-5.9940274E+00,6.00586E-02
-5.9939358E+00,6.39648E-02
-5.9938441E+00,6.68945E-02
-5.9937525E+00,6.10352E-02
-5.9936608E+00,4.54102E-02
-5.9935692E+00,6.68945E-02
-5.9934775E+00,6.00586E-02
-5.9933858E+00,6.78711E-02
-5.9932942E+00,5.90820E-02
-5.9932025E+00,7.27539E-02
-5.9931109E+00,6.29883E-02
-5.9930192E+00,6.29883E-02
-5.9929276E+00,6.00586E-02
-5.9928359E+00,6.39648E-02
-5.9927442E+00,6.10352E-02
-5.9926526E+00,6.39648E-02
-5.9925609E+00,5.41992E-02
-5.9924693E+00,6.68945E-02
-5.9923776E+00,6.29883E-02
-5.9922860E+00,5.90820E-02
