in s,C1 in V
-6.000000E+00,2.82227E-02
-5.999904E+00,-1.08398E-02
-5.999808E+00,-1.08398E-02
-5.999712E+00,-4.01367E-02
-5.999616E+00,-3.03711E-02
-5.999520E+00,-4.50195E-02
-5.999424E+00,2.82227E-02
-5.999328E+00,-2.54883E-02
-5.999232E+00,-1.07422E-03
-5.999136E+00,3.80859E-03
-5.999040E+00,-3.03711E-02
-5.998944E+00,-1.08398E-02
-5.998848E+00,1.35742E-02
-5.998752E+00,-2.06055E-02
-5.998656E+00,-2.06055E-02
-5.998560E+00,-4.01367E-02
-5.998464E+00,-3.03711E-02
-5.998368E+00,-3.03711E-02
-5.998272E+00,-3.52539E-02
-5.998176E+00,-3.52539E-02
-5.998080E+00,-1.08398E-02
-5.997984E+00,-2.06055E-02
-5.997888E+00,-3.03711E-02
-5.997792E+00,-2.54883E-02
-5.997696E+00,-2.06055E-02
-5.997600E+00,-1.08398E-02
-5.997504E+00,-5.47852E-02
-5.997408E+00,1.35742E-02
-5.997312E+00,-2.06055E-02
-5.997216E+00,-1.08398E-02
-5.997120E+00,-1.08398E-02
-5.997024E+00,-1.07422E-03
-5.996928E+00,-3.52539E-02
-5.996832E+00,-1.08398E-02
-5.996736E+00,3.80859E-03
-5.996640E+00,1.35742E-02
-5.996544E+00,-1.07422E-03
-5.996448E+00,1.35742E-02
-5.996352E+00,3.80859E-03
-5.996256E+00,3.80859E-03
-5.996160E+00,-5.95703E-03
-5.996064E+00,-1.07422E-03
-5.995968E+00,-2.54883E-02
-5.995872E+00,-2.06055E-02
-5.995776E+00,-2.54883E-02
-5.995680E+00,-2.06055E-02
-5.995584E+00,2.33398E-02
-5.995488E+00,-5.95703E-03
-5.995392E+00,-1.08398E-02
-5.995296E+00,-1.07422E-03
-5.995200E+00,-4.01367E-02
-5.995104E+00,-4.01367E-02
-5.995008E+00,-2.54883E-02
-5.994912E+00,-5.95703E-03
-5.994816E+00,-3.52539E-02
-5.994720E+00,-4.50195E-02
-5.994624E+00,-3.03711E-02
-5.994528E+00,-3.03711E-02
-5.994432E+00,-1.07422E-03
-5.994336E+00,2.82227E-02
-5.994240E+00,-5.95703E-03
-5.994144E+00,1.35742E-02
-5.994048E+00,2.33398E-02
-5.993952E+00,-2.54883E-02
-5.993856E+00,-1.08398E-02
-5.993760E+00,-1.07422E-03
-5.993664E+00,-4.01367E-02
-5.993568E+00,8.69141E-03
-5.993472E+00,-2.54883E-02
-5.993376E+00,-4.50195E-02
-5.993280E+00,-5.95703E-03
-5.993184E+00,3.80859E-03
-5.993088E+00,-5.47852E-02
-5.992992E+00,-2.06055E-02
-5.992896E+00,-3.03711E-02
-5.992800E+00,-5.95703E-03
-5.992704E+00,-2.54883E-02
