in s,C1 in V
-2.9998404E+01,5.40332E-02
-2.9997945E+01,6.46973E-02
-2.9997486E+01,6.11426E-02
-2.9997027E+01,5.75879E-02
-2.9996568E+01,5.04785E-02
-2.9996109E+01,5.40332E-02
-2.9995650E+01,6.46973E-02
-2.9995191E+01,5.40332E-02
-2.9994732E+01,6.82520E-02
-2.9994273E+01,6.29199E-02
-2.9993814E+01,5.75879E-02
-2.9993355E+01,6.64746E-02
-2.9992896E+01,7.00293E-02
-2.9992437E+01,5.58105E-02
-2.9991978E+01,5.04785E-02
-2.9991519E+01,6.64746E-02
-2.9991060E+01,5.75879E-02
-2.9990601E+01,6.11426E-02
-2.9990142E+01,7.00293E-02
-2.9989683E+01,5.75879E-02
-2.9989224E+01,5.93652E-02
-2.9988765E+01,4.51465E-02
-2.9988306E+01,6.29199E-02
-2.9987847E+01,4.87012E-02
-2.9987388E+01,5.22559E-02
-2.9986929E+01,5.75879E-02
-2.9986470E+01,6.64746E-02
-2.9986011E+01,5.75879E-02
-2.9985552E+01,6.46973E-02
-2.9985093E+01,6.29199E-02
-2.9984634E+01,5.04785E-02
-2.9984175E+01,5.93652E-02
-2.9983716E+01,5.04785E-02
-2.9983257E+01,5.75879E-02
-2.9982798E+01,5.93652E-02
-2.9982339E+01,5.04785E-02
-2.9981880E+01,5.22559E-02
-2.9981421E+01,6.11426E-02
-2.9980962E+01,5.40332E-02
-2.9980503E+01,6.64746E-02
-2.9980044E+01,5.22559E-02
-2.9979585E+01,6.64746E-02
-2.9979126E+01,5.04785E-02
-2.9978667E+01,6.46973E-02
-2.9978208E+01,5.04785E-02
-2.9977749E+01,5.40332E-02
-2.9977290E+01,5.04785E-02
-2.9976831E+01,5.93652E-02
-2.9976372E+01,5.93652E-02
-2.9975913E+01,5.22559E-02
-2.9975454E+01,5.58105E-02
-2.9974995E+01,3.80371E-02
-2.9974536E+01,6.11426E-02
-2.9974077E+01,6.46973E-02
-2.9973618E+01,6.11426E-02
-2.9973159E+01,5.22559E-02
-2.9972700E+01,4.87012E-02
-2.9972241E+01,4.87012E-02
-2.9971782E+01,6.46973E-02
-2.9971323E+01,6.82520E-02
-2.9970864E+01,6.11426E-02
-2.9970405E+01,4.69238E-02
-2.9969946E+01,6.29199E-02
-2.9969487E+01,5.75879E-02
-2.9969028E+01,7.53613E-02
-2.9968569E+01,6.46973E-02
-2.9968110E+01,5.22559E-02
-2.9967651E+01,5.40332E-02
-2.9967192E+01,5.93652E-02
-2.9966733E+01,8.78027E-02
-2.9966274E+01,5.04785E-02
-2.9965815E+01,5.58105E-02
-2.9965356E+01,5.22559E-02
-2.9964897E+01,5.40332E-02
-2.9964438E+01,5.22559E-02
-2.9963979E+01,5.40332E-02
-2.9963520E+01,7.18066E-02
-2.9963061E+01,4.15918E-02
-2.9962602E+01,6.11426E-02
-2.9962143E+01,5.93652E-02
-2.9961684E+01,5.22559E-02
-2.9961225E+01,5.58105E-02
-2.9960766E+01,6.46973E-02
-2.9960307E+01,7.18066E-02
-2.9959848E+01,5.75879E-02
-2.9959389E+01,4.15918E-02
-2.9958930E+01,5.93652E-02
-2.9958471E+01,4.87012E-02
-2.9958012E+01,5.22559E-02
-2.9957553E+01,6.11426E-02
-2.9957094E+01,5.93652E-02
-2.9956635E+01,6.64746E-02
-2.9956176E+01,5.04785E-02
-2.9955717E+01,5.22559E-02
-2.9955258E+01,4.51465E-02
-2.9954799E+01,5.75879E-02
-2.9954340E+01,5.40332E-02
-2.9953881E+01,5.22559E-02
-2.9953422E+01,5.75879E-02
-2.9952963E+01,5.93652E-02
-2.9952504E+01,5.04785E-02
-2.9952045E+01,5.04785E-02
-2.9951586E+01,6.46973E-02
-2.9951127E+01,5.75879E-02
-2.9950668E+01,6.64746E-02
-2.9950209E+01,6.29199E-02
-2.9949750E+01,5.40332E-02
-2.9949291E+01,6.11426E-02
-2.9948832E+01,4.51465E-02
-2.9948373E+01,5.75879E-02
-2.9947914E+01,6.29199E-02
-2.9947455E+01,5.22559E-02
-2.9946996E+01,7.18066E-02
-2.9946537E+01,4.69238E-02
-2.9946078E+01,4.69238E-02
-2.9945619E+01,7.00293E-02
-2.9945160E+01,3.98145E-02
-2.9944701E+01,5.04785E-02
