"Piezo Voltage (V)";"Fast In 3 (V)";"Fast In 4 (V)";
41.902214;-0.0061981175;-0.014017804;
41.90271;-0.0061364737;-0.012904061;
41.903206;-0.0060158772;-0.014208361;
41.903694;-0.0059681768;-0.014161884;
41.90419;-0.0061369631;-0.012367859;
41.904675;-0.0060117189;-0.013046428;
41.90517;-0.0061139688;-0.013350977;
41.905659;-0.0059933728;-0.013209833;
41.906155;-0.0061352509;-0.013299852;
41.906639;-0.0061364737;-0.013058415;
41.907135;-0.0061266893;-0.012310863;
41.907623;-0.0060193022;-0.013244078;
41.908119;-0.0059909262;-0.012138898;
41.908604;-0.006058441;-0.011652597;
41.9091;-0.0060119634;-0.01254325;
41.909588;-0.0060171005;-0.012685372;
41.910084;-0.0059630401;-0.012194181;
41.910568;-0.0059177857;-0.012922896;
41.911064;-0.0062348102;-0.012375442;
41.911552;-0.0061357399;-0.013533462;
41.912048;-0.0060266405;-0.011722069;
41.912533;-0.0059099579;-0.011826766;
41.913029;-0.0060026678;-0.012030043;
41.913517;-0.0060117189;-0.012358808;
41.914013;-0.0061051627;-0.012774902;
41.914497;-0.0060117189;-0.01302906;
41.914993;-0.0059532551;-0.013654303;
41.915482;-0.0061310921;-0.01435611;
41.915977;-0.0059605939;-0.011890611;
41.916462;-0.0060117189;-0.013560125;
41.916958;-0.0060660238;-0.014116385;
41.917446;-0.0060107405;-0.013769273;
41.917942;-0.0060117189;-0.013680232;
41.918427;-0.0059994878;-0.014331893;
41.918922;-0.0061279121;-0.013394519;
41.919411;-0.0059013963;-0.012289092;
41.919907;-0.0058930796;-0.012905284;
41.920391;-0.0059564351;-0.014392802;
41.920887;-0.0061293798;-0.014957624;
41.921375;-0.0060148989;-0.012798876;
41.92186;-0.0060117189;-0.010887924;
41.922356;-0.0062000742;-0.014264134;
41.922844;-0.0061367182;-0.014012667;
41.92334;-0.0060107405;-0.013057681;
41.923824;-0.005887453;-0.013244323;
41.92432;-0.0060009556;-0.012407976;
41.924809;-0.0060210144;-0.012582634;
41.925304;-0.0059018857;-0.012276617;
41.925789;-0.0060792333;-0.012592418;
41.926285;-0.0058448897;-0.01202197;
41.926773;-0.0060082944;-0.012640119;
41.927269;-0.0061369631;-0.012346088;
41.927753;-0.0059772278;-0.014417998;
41.928249;-0.0059160735;-0.011925835;
41.928738;-0.0059901928;-0.012781262;
41.929234;-0.0058867196;-0.012169475;
41.929718;-0.0060256622;-0.011949074;
41.930214;-0.006137697;-0.009965471;
41.930702;-0.0060210144;-0.011933174;
41.931198;-0.0060119634;-0.010478923;
41.931683;-0.0058930796;-0.012228671;
41.932178;-0.0060075605;-0.011203969;
41.932667;-0.0059535;-0.012281754;
41.933163;-0.0059826095;-0.01254594;
41.933647;-0.006014165;-0.013672404;
41.934143;-0.0060410728;-0.012265609;
41.934631;-0.0062348102;-0.011607832;
41.935127;-0.0061173937;-0.011297902;
41.935612;-0.0060119634;-0.012372018;
41.936108;-0.006010985;-0.011483323;
41.936596;-0.0061364737;-0.011013657;
41.937092;-0.0061151921;-0.011662872;
41.937576;-0.0058930796;-0.010894773;
41.938072;-0.0058913669;-0.01014551;
41.93856;-0.0059490968;-0.010243112;
41.939045;-0.0060408283;-0.0095033888;
41.939541;-0.0059747817;-0.010502161;
41.940037;-0.005890144;-0.010245803;
41.940525;-0.0059872572;-0.0095992787;
41.941021;-0.006030065;-0.010226967;
41.941505;-0.0060256622;-0.0095077921;
41.942001;-0.0059104473;-0.0085139107;
